id,building,model,machine_id
1,2,STUDER S31 CNC,526
2,2,HARDINGE T42,253
3,2,STUDER S33 CNC,524
4,2,STUDER S145 CNC,483
5,2,MORI SEIKI NT3150DCG1000SZ,680
6,2,OKUMA LU 300M,249
7,2,HEMBRUG Slantbed-Mikroturn 100 CNC,421
8,2,HARDINGE T51SPMYT,400
9,2,HARDINGE T-51 MSY,254
10,2,Index R300,1106
11,2,Index R300,1105
12,2,Index G220,1107
13,2,Index G420,1104
14,2,Index G420,1103
15,2,Index G420,1102
16,2,Index G420,1101
18,2,Studer S33,485
19,2,Roeders RXP501DS,1110
20,2,Roeders RXP501DS,1111
21,2,Roeders RXP501DS,1112
22,2,Roeders RXP501DS,1113
23,2,Roeders RXP500DS,803
24,2,Roeders RXP500DS,801
